RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,AverageMInFile,NumSatisfactoryTrades,PercentTradesNeverDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
Good,68,224,110,24,86,6,2,29,1,31,-7,5,5,73,2,2,2,71
Bad,61,208,96,24,74,6,2,27,3,63,-7,2,53,77,6,4,2,92
Bad,63,203,79,16,59,4,6,17,1,47,-7,3,55,77,7,3,1,91
Bad,69,160,109,11,92,6,3,13,1,31,-7,0,94,32,3,2,3,100
Bad,49,103,48,10,53,0,2,17,1,35,-7,2,37,66,5,2,0,80
Bad,74,159,69,26,100,6,7,27,2,48,-7,0,61,67,3,4,2,78
Bad,65,241,95,15,76,4,6,17,0,29,-7,1,51,43,3,1,1,80
Bad,80,203,91,15,100,7,8,17,1,29,-7,0,16,93,6,2,1,69
Bad,61,61,41,9,80,5,6,10,1,50,-7,2,80,95,4,3,1,100
Bad,57,178,79,23,92,4,6,26,2,58,-7,3,57,77,5,2,1,100
Bad,59,131,81,13,69,4,5,17,1,50,-7,2,75,32,3,2,1,100
Bad,71,103,94,6,86,6,5,7,0,14,-7,0,48,32,2,-8,0,67
Good,86,168,85,33,97,6,6,34,0,38,-7,0,3,32,3,2,0,56
Good,83,106,62,28,100,7,8,28,5,11,-7,4,17,32,2,1,0,60
Bad,59,198,89,29,79,6,2,34,1,38,-7,3,38,98,11,1,1,86
Bad,59,256,50,11,44,4,5,16,1,75,-7,1,93,74,3,6,2,90
Good,55,203,81,19,86,3,5,21,2,33,-7,3,56,87,3,2,1,83
Good,75,258,97,23,96,6,6,24,0,13,-7,0,31,32,4,-8,0,57
Bad,78,41,16,3,100,7,8,3,2,67,-7,16,0,32,0,1,2,50
Good,65,14,4,3,100,7,8,6,5,33,-7,9,1,98,1,2,0,50
Good,80,233,106,28,97,4,6,30,4,37,2,3,4,98,4,2,0,86
Bad,70,252,73,20,88,6,3,24,4,67,2,1,16,93,3,2,0,63
Bad,59,183,82,20,78,4,2,27,1,67,4,1,98,84,2,4,2,100
Bad,57,246,72,34,88,1,3,40,4,73,2,3,12,70,3,12,0,89
Bad,77,154,55,31,100,7,8,32,6,63,2,2,26,74,5,14,0,86
Bad,65,37,24,11,100,7,8,11,0,27,3,4,81,32,6,1,2,88
Bad,67,97,46,8,100,7,8,9,1,33,0,1,66,48,5,2,1,88
Bad,73,136,77,25,100,7,8,25,4,36,0,3,54,100,11,1,1,100
Bad,73,190,113,27,100,7,8,30,1,23,7,0,40,78,9,3,1,68
Bad,77,221,93,46,100,7,8,51,0,36,17,0,41,32,8,1,2,75
Bad,61,190,118,34,82,5,6,34,1,50,19,0,97,78,6,4,4,100
Good,86,242,135,14,100,7,8,14,0,36,1,3,3,32,2,1,0,43
Good,66,132,36,34,100,7,8,34,3,26,10,0,66,81,21,4,5,96
Bad,64,178,108,33,85,4,6,33,2,36,0,4,48,78,5,3,3,62
Good,79,245,100,35,100,7,8,37,1,43,4,1,18,61,6,4,0,71
Good,76,159,84,21,95,5,7,21,1,71,3,1,42,69,3,3,1,75
Bad,62,27,22,3,100,6,8,3,0,100,2,4,62,32,20,1,2,100
Good,81,244,128,54,98,6,6,56,3,41,0,4,25,97,6,3,0,90
Good,85,241,120,36,100,7,8,36,1,39,2,1,1,20,3,4,0,50
Bad,75,160,69,12,100,7,8,12,2,42,2,2,85,100,2,2,2,83
Bad,72,132,65,25,100,7,8,26,3,42,2,3,40,70,5,3,2,73
Bad,71,179,68,32,97,6,3,33,5,21,1,5,43,45,12,4,3,76
Good,65,256,190,23,85,4,4,27,0,52,5,0,75,27,4,3,1,88
Good,55,139,65,51,98,4,6,51,3,27,0,11,80,32,17,2,10,79
Good,89,137,75,14,100,7,8,14,0,0,23,0,3,32,3,-8,0,50
Bad,50,222,99,24,81,4,5,26,0,38,3,1,42,67,6,3,2,69
Good,70,218,69,24,88,5,2,33,3,62,0,5,69,83,8,4,1,100
Bad,55,156,65,59,98,4,6,59,5,36,1,12,44,91,7,5,1,92
Bad,69,82,57,15,67,6,2,21,0,71,5,2,6,66,1,2,2,75
Good,62,247,93,29,90,0,6,29,1,24,16,0,67,32,11,1,3,100
Good,87,112,67,22,100,7,8,22,2,55,5,0,3,92,1,3,0,44
Good,65,129,64,30,78,4,6,32,3,34,0,1,17,99,2,10,0,67
Bad,66,93,33,23,100,7,8,24,3,33,0,2,58,97,8,2,4,63
Bad,85,154,159,4,100,7,8,4,0,50,23,0,53,32,1,-8,0,100
Good,81,212,93,37,100,7,8,44,5,16,2,3,19,32,4,2,1,35
Good,65,321,74,27,68,6,4,31,5,45,0,4,11,91,1,4,0,56
Good,65,338,55,24,83,4,6,24,2,33,0,2,13,78,2,2,0,31
Good,85,195,87,28,100,7,8,29,5,38,0,3,11,49,5,3,0,73
Good,67,145,58,31,94,4,2,32,4,56,3,2,18,62,5,6,1,79
Good,92,352,120,14,100,7,8,17,0,35,4,1,11,32,2,1,0,60
Bad,66,205,123,5,100,6,8,5,2,40,4,5,83,80,1,2,1,100
Bad,62,135,59,15,81,4,6,16,1,81,0,11,13,59,2,4,0,100
Bad,62,433,79,31,92,5,2,39,7,85,0,2,13,97,1,4,2,100
Good,69,175,56,17,90,4,5,20,3,55,1,1,16,92,3,8,0,73
Bad,83,344,151,10,90,6,6,10,0,40,19,0,5,32,1,-8,2,33
Bad,57,140,67,8,80,6,4,10,0,50,3,1,93,71,1,2,1,100
Bad,66,307,125,38,79,6,2,49,2,48,4,1,45,75,8,3,4,65
Bad,66,502,145,34,97,6,6,37,4,27,4,3,80,53,17,3,12,83
Bad,64,277,94,26,71,4,6,28,1,54,5,0,52,77,5,4,1,82
Good,81,334,104,18,100,7,8,19,0,68,9,0,29,34,3,3,0,86
Good,63,307,85,35,95,6,6,38,3,24,0,3,38,32,5,1,2,50
Bad,66,133,77,23,100,7,8,26,2,42,0,3,105,94,6,2,6,100
Bad,61,338,145,32,88,4,6,33,1,27,12,0,56,85,15,2,6,78
Good,85,182,74,10,100,7,8,10,0,50,18,0,12,34,4,2,0,86
Good,72,145,57,45,100,7,8,72,2,74,7,0,34,97,4,12,0,73
Good,85,267,72,8,100,7,8,8,0,25,17,0,17,62,2,1,0,75
Bad,78,340,106,25,96,4,6,25,1,56,4,1,6,77,2,3,0,56
Good,86,439,112,18,100,7,8,21,2,57,1,3,26,100,3,2,0,83
Good,70,139,67,19,83,6,5,23,2,57,5,0,39,66,2,3,0,100
Bad,62,295,124,55,95,4,6,57,2,39,5,0,32,48,6,4,2,57
Good,82,286,103,16,100,7,8,17,3,47,6,0,25,22,4,3,1,89
Good,75,311,117,40,100,7,8,45,2,42,0,5,34,32,4,-8,2,45
Good,66,111,40,9,100,7,8,9,2,33,1,3,80,55,5,2,3,88
Bad,93,399,174,5,100,7,8,5,0,0,2,1,0,32,0,-8,0,0
Bad,67,85,48,17,89,6,5,18,0,61,4,1,44,77,1,2,0,75
Bad,64,103,52,22,88,6,6,24,3,38,1,5,29,77,4,3,2,58
Bad,67,90,38,7,100,7,8,7,1,57,5,1,91,52,1,2,1,75
Good,81,99,54,35,100,7,8,36,1,25,0,2,8,42,2,3,0,67
Good,80,415,129,20,90,4,6,20,1,20,23,0,8,84,1,1,0,50
Good,84,288,85,11,100,7,8,13,1,38,17,1,20,32,2,1,1,38
Good,88,209,93,19,100,7,8,19,1,53,5,0,0,32,1,1,0,29
Good,82,163,92,12,100,7,8,12,0,17,18,0,33,32,4,-8,0,100
Bad,60,281,73,35,78,4,6,40,4,28,0,8,16,86,10,4,2,68
Bad,60,164,67,18,67,4,5,24,2,58,0,5,0,53,0,4,0,63
Good,75,407,90,27,94,6,5,31,3,16,0,1,3,32,8,2,0,59
Bad,59,191,74,38,93,4,6,40,2,33,1,2,48,45,12,3,3,83
Good,75,180,74,35,100,7,8,36,5,44,0,4,41,97,1,3,0,80
Good,73,116,65,23,100,7,8,23,0,39,1,1,25,70,3,4,1,62
Good,87,126,71,21,100,7,8,22,1,38,13,0,10,50,2,2,0,67
Good,90,244,96,31,100,7,8,31,1,42,0,3,2,32,1,1,0,20
Good,63,69,42,13,100,6,8,13,2,15,0,1,53,58,6,2,1,89
Good,89,363,106,21,100,6,7,24,1,29,0,1,2,74,5,2,0,64
Good,82,154,82,35,100,7,8,36,5,42,0,1,12,100,2,2,0,44
Good,70,253,131,23,100,0,8,23,0,35,23,0,3,48,3,3,0,55
Good,76,170,68,32,97,4,6,35,5,34,1,3,13,0,2,4,0,67
Good,75,325,101,23,96,6,6,24,1,63,6,0,47,70,4,4,0,89
Good,76,220,87,31,94,6,6,31,3,55,5,1,31,64,4,2,0,60
Bad,65,145,70,40,100,7,8,43,4,30,1,9,83,77,10,5,6,79
Bad,65,293,142,20,38,4,5,24,1,50,3,13,9,32,4,4,2,62
Bad,92,474,258,8,100,7,8,8,0,0,2,1,1,32,3,-8,0,50
Bad,66,234,69,54,98,6,5,60,4,25,0,2,19,62,6,4,0,57
Bad,64,432,87,34,97,6,6,35,7,35,0,2,34,47,8,7,2,71
Bad,63,130,67,25,86,4,6,29,1,34,0,0,57,75,4,2,2,67
Bad,61,251,74,15,93,6,6,15,0,13,0,1,89,32,7,1,5,100
Good,76,280,77,25,100,7,8,25,0,40,0,0,17,42,2,4,1,50
Bad,60,125,34,26,96,4,6,26,2,15,0,3,56,70,4,1,1,67
Good,89,408,108,28,100,7,8,30,2,20,0,1,10,66,4,2,0,55
Good,85,271,96,26,100,7,8,26,1,19,0,1,4,32,3,1,0,25
Bad,58,274,144,9,64,4,5,11,1,36,0,3,68,15,2,3,1,100
Good,64,162,73,4,67,6,2,7,1,33,0,1,57,32,2,1,0,100
Good,81,306,74,16,100,7,8,18,1,11,0,0,25,101,7,1,1,80
Bad,56,82,37,29,93,6,6,30,3,57,0,1,43,85,5,3,2,73
Bad,55,99,56,35,92,4,2,40,3,65,0,0,100,45,1,2,2,100
Bad,51,232,93,13,69,0,2,16,3,38,0,0,94,88,2,3,1,83
Bad,68,130,51,30,97,6,6,36,2,53,0,0,59,24,5,4,0,75
Bad,55,147,83,12,86,6,2,15,1,29,0,2,66,32,6,1,2,89
Good,87,336,120,35,100,7,8,35,4,14,0,2,3,32,6,1,0,47
Bad,68,264,106,22,88,6,6,26,0,46,0,0,64,65,5,3,3,90
Bad,70,233,69,31,97,4,6,33,1,33,0,0,35,68,6,3,1,59
Good,75,254,60,9,100,7,8,9,2,44,0,1,60,95,2,2,0,80
Bad,70,321,67,13,82,6,4,17,1,53,0,4,50,80,3,5,0,90
Good,77,165,75,20,95,6,6,20,0,20,0,0,41,44,4,2,1,43
Bad,73,232,72,19,95,4,6,19,3,42,0,0,35,85,6,2,0,73
Good,60,273,126,32,89,4,6,35,3,11,0,0,37,74,16,2,0,95
Bad,77,324,85,26,100,7,8,26,3,38,0,0,16,65,4,4,0,59
Good,80,220,105,32,100,7,8,32,2,41,0,0,36,54,3,4,1,58
Bad,82,161,60,41,100,7,8,44,4,23,0,4,2,32,3,1,1,29
Bad,83,176,70,8,100,7,8,8,3,50,0,0,38,91,2,2,0,80
Bad,65,321,114,27,82,5,3,28,3,32,0,0,66,32,6,1,1,88
Bad,77,140,73,15,88,6,6,17,2,53,0,1,17,64,2,4,2,67
Bad,66,409,138,18,85,6,6,20,2,25,0,0,55,32,7,-8,1,80
Bad,84,191,104,11,100,7,8,12,0,58,0,2,4,50,1,2,0,75
Bad,59,152,50,23,79,6,2,29,4,41,0,0,70,93,8,3,1,100
Bad,66,253,125,8,64,6,5,11,2,27,0,0,80,32,2,1,1,60
Bad,63,234,159,8,43,6,2,14,0,14,0,0,33,32,1,-8,1,33
Bad,73,250,67,42,100,7,8,47,2,49,0,1,50,86,4,7,1,69
Good,77,173,71,39,100,6,8,42,0,31,0,0,19,66,8,3,1,50
Good,79,81,38,10,100,7,8,10,2,20,0,0,10,32,2,1,2,50
Bad,64,164,71,25,92,4,6,26,3,38,0,3,58,84,3,3,0,67
Bad,67,282,108,37,95,4,6,40,1,43,0,1,68,58,5,3,2,80
Bad,80,290,82,14,87,5,6,15,2,60,0,0,16,44,3,4,0,78
Bad,74,279,90,31,97,6,4,33,3,18,0,2,5,95,4,3,0,47
Good,70,196,64,34,100,7,8,35,1,37,0,0,83,32,6,1,3,100
Bad,65,77,50,2,67,6,3,3,1,67,0,0,62,32,20,1,2,100
Bad,69,184,76,9,82,6,2,11,0,27,0,0,66,32,4,-8,2,57
Bad,73,94,49,21,95,6,6,22,2,36,0,2,42,47,3,2,1,56
Good,66,74,21,13,92,6,6,13,6,23,0,4,33,61,5,3,0,73
Good,73,219,88,23,100,7,8,24,3,46,0,1,45,88,6,2,1,89
Good,80,198,72,25,100,7,8,25,1,24,0,1,7,23,1,2,0,50
Bad,58,175,57,45,96,3,5,47,1,53,0,3,69,85,6,12,3,78
Good,88,369,114,31,100,7,8,33,2,33,0,0,1,91,2,2,0,36
Good,64,159,54,20,89,5,5,27,2,52,0,2,42,94,4,2,2,86
Bad,62,174,84,35,89,5,6,38,3,32,0,1,68,32,9,2,3,85
Bad,73,144,96,13,85,6,6,13,0,8,0,0,40,5,10,1,1,85
Bad,86,266,95,12,100,7,8,13,3,15,0,0,22,32,3,-8,0,43
Bad,66,375,183,21,83,3,5,23,0,52,0,3,24,32,3,2,0,100
Good,69,338,62,22,96,6,6,23,3,35,0,4,25,100,3,2,1,45
Bad,58,118,66,14,75,4,5,20,0,30,0,0,62,66,5,4,0,90
Bad,75,255,102,30,100,7,8,32,2,13,0,1,39,95,7,2,4,53
Bad,75,291,118,15,94,6,5,17,0,41,0,2,48,32,3,1,0,83
Bad,70,288,69,30,100,7,8,30,2,20,0,1,31,94,5,2,2,39
Bad,83,122,35,11,100,7,8,11,0,36,0,0,2,32,2,1,0,50
Bad,72,72,39,18,100,7,8,18,2,28,0,2,73,32,3,1,0,100
Good,84,294,119,44,100,7,8,47,3,68,0,2,4,67,5,8,2,76
Bad,68,220,69,27,100,7,8,27,3,44,0,2,95,59,4,4,2,100
Good,76,269,107,32,97,5,7,32,3,31,0,0,42,2,3,2,1,75
Bad,82,133,88,9,100,7,8,9,0,44,0,0,0,32,0,1,2,50
Good,62,21,17,4,100,7,8,4,0,50,0,4,120,83,1,2,1,75
Bad,79,106,64,16,100,7,8,16,1,38,0,2,20,44,2,3,1,50
Bad,77,191,76,20,100,7,8,20,2,35,0,3,69,17,2,2,1,63
Bad,82,247,57,46,98,6,6,46,3,28,0,0,3,45,3,2,0,45
Good,64,120,49,15,88,6,4,16,2,44,0,1,69,81,4,3,2,78
Good,68,343,96,40,90,6,2,43,3,37,0,11,75,58,8,6,4,71
Bad,57,123,57,5,71,6,2,8,0,29,0,2,100,32,1,1,1,100
Bad,75,78,41,6,100,7,8,6,1,67,0,4,56,101,2,1,0,100
Good,84,149,80,13,100,7,8,13,0,85,0,1,0,87,0,2,2,67
Good,73,123,65,24,100,7,8,24,1,38,0,1,68,80,3,7,1,71
Good,80,162,58,41,98,6,6,42,5,60,0,0,6,90,3,10,0,64
Bad,61,115,70,16,74,2,4,19,0,21,0,3,10,2,3,2,0,56
Bad,79,244,93,8,82,6,4,11,3,18,0,1,15,32,4,1,0,86
Good,89,353,140,19,100,7,8,19,0,11,0,0,7,32,3,1,0,36
Good,76,128,47,32,100,7,8,32,3,22,0,3,16,42,7,2,1,64
Bad,64,150,45,12,86,0,2,14,4,21,0,2,9,32,4,1,2,56
Bad,72,221,84,22,81,6,4,26,1,23,0,0,30,32,5,1,0,70
Bad,58,39,22,12,83,4,6,12,3,8,0,3,45,100,6,1,1,88
Bad,80,131,66,7,100,7,8,7,0,71,0,0,62,74,1,2,2,100
Bad,59,192,37,17,88,5,6,18,1,59,0,2,49,84,4,3,2,78
Bad,62,282,99,24,70,6,3,31,0,26,0,0,29,32,4,1,1,45
Bad,87,208,63,42,100,7,8,42,2,26,0,0,9,70,5,3,0,56
Bad,52,132,62,21,86,4,2,22,0,32,0,1,41,90,10,2,1,80
Good,61,197,84,18,63,4,3,24,1,58,0,0,0,32,1,1,2,50
Good,82,295,108,18,100,7,8,18,0,39,0,0,36,47,2,2,1,40
Good,88,164,90,19,100,7,8,19,0,32,0,0,2,60,1,3,0,36
Bad,64,51,22,15,100,5,8,24,3,25,0,0,61,84,10,3,1,100
Good,89,351,79,12,100,7,8,12,2,58,0,0,4,85,2,3,0,83
Good,83,203,86,17,100,7,8,17,2,47,0,0,12,70,2,3,1,63
Bad,81,152,83,8,100,7,8,8,0,88,0,0,0,68,0,2,2,67
Good,60,168,97,3,25,0,5,11,0,25,0,0,26,68,2,2,0,80
Good,66,176,61,24,92,4,6,24,1,33,0,0,18,92,4,2,1,58
Good,70,206,75,17,100,7,8,18,0,28,0,1,58,32,4,1,3,60
Bad,69,124,66,20,95,4,6,20,0,60,0,0,58,73,3,3,1,86
Bad,65,106,42,11,92,6,5,13,3,31,0,2,60,32,4,1,1,83
Bad,60,141,94,13,73,4,6,15,0,27,0,0,61,32,2,1,0,100
Good,76,208,100,22,100,7,8,22,0,45,0,0,76,39,2,2,1,83
Bad,72,141,66,10,83,6,6,12,2,25,0,1,49,94,2,1,1,33
Bad,69,165,62,12,92,6,6,12,2,58,0,1,97,71,4,1,3,100
Bad,58,162,65,21,100,0,8,22,1,33,0,1,44,54,4,3,1,78
Good,64,345,109,31,92,6,2,36,3,42,0,3,51,78,6,1,3,64
Good,82,340,87,45,100,5,8,49,6,27,0,10,3,82,6,5,0,44
Good,67,37,19,18,100,7,8,18,5,6,0,2,30,32,10,1,1,65
Bad,66,190,73,25,88,6,2,35,3,59,0,2,94,121,4,4,1,100
Bad,63,115,54,20,91,0,5,24,2,50,0,1,52,75,4,2,1,88
Bad,76,182,89,41,100,7,8,44,3,27,0,3,40,100,5,4,3,50
Bad,81,155,63,18,100,7,8,19,2,28,0,2,3,32,3,2,0,50
Good,57,155,42,32,97,4,6,34,10,18,0,1,40,90,7,4,1,50
Bad,58,184,66,39,85,0,5,57,3,44,0,3,95,78,5,4,3,100
Bad,78,174,98,18,95,6,6,20,2,55,0,1,23,57,1,4,0,75
Good,73,337,110,6,67,6,5,9,2,67,0,1,62,82,20,3,2,100
Bad,62,185,52,14,76,4,5,17,1,65,0,5,26,70,3,4,1,100
Good,72,188,57,36,97,6,6,36,5,56,0,3,6,60,2,13,0,65
