ExternalRiskEstimate,MSinceOldestTradeOpen,AverageMInFile,NumSatisfactoryTrades,PercentTradesNeverDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
79,340,80,52,96,4,6,77,2,13,6,0,2,32,2,1,0,12
64,130,33,13,100,7,8,14,6,0,4,1,64,32,7,-8,3,78
81,356,116,28,100,7,8,31,0,24,-7,0,34,32,4,1,1,45
70,234,93,27,89,6,6,27,1,44,0,2,51,100,5,2,2,70
71,127,54,24,100,7,8,28,5,46,0,5,54,100,4,2,2,55
78,361,115,24,100,7,8,25,3,44,0,1,17,96,4,5,1,64
84,186,79,14,100,7,8,16,3,75,0,4,25,32,1,2,0,75
89,188,83,21,100,7,8,21,0,29,23,0,0,32,0,1,0,13
76,97,44,14,100,7,8,14,2,21,0,1,32,43,3,2,0,63
61,183,68,2,67,3,5,3,1,33,-7,2,108,32,1,1,1,67
87,174,59,16,100,7,8,19,4,21,0,2,10,97,6,2,0,89
75,151,71,39,100,7,8,10,5,15,7,0,33,32,6,1,0,70
57,21,12,10,100,7,8,10,5,90,6,1,76,83,1,1,2,100
78,265,115,11,100,7,8,11,0,64,23,0,80,32,2,1,2,100
62,155,70,21,74,4,2,23,2,57,0,5,75,93,1,3,1,100
73,137,64,17,89,6,6,18,2,33,0,2,42,78,4,3,0,58
79,96,49,29,100,7,8,32,3,50,-7,2,20,81,5,4,1,75
74,194,91,35,100,7,8,36,1,47,0,5,23,76,4,5,2,56
79,344,135,24,100,7,8,24,0,17,1,1,41,32,4,1,2,50
64,201,78,58,95,6,6,58,6,21,0,4,35,99,9,4,3,39
56,211,30,19,95,4,6,2,1,26,1,2,58,97,4,3,1,78
72,546,98,25,85,4,6,31,3,19,6,0,6,32,4,1,0,43
75,342,170,13,69,6,5,16,0,31,23,0,70,32,4,1,2,63
65,388,51,11,100,7,8,13,8,42,0,0,80,95,6,1,2,100
63,213,86,24,96,6,6,24,2,29,0,1,75,79,7,2,5,60
56,199,63,1,33,5,2,11,0,33,4,1,62,32,20,1,2,100
60,65,37,10,91,5,7,11,0,55,0,0,99,38,5,2,2,100
69,127,64,31,97,5,6,32,3,28,0,8,74,69,7,2,3,75
66,87,51,31,100,5,7,31,4,32,-7,0,49,91,8,3,1,79
68,113,46,13,100,7,8,14,3,50,6,0,54,32,2,3,2,63
85,169,62,12,100,7,8,12,2,33,0,0,8,32,3,2,0,71
89,265,99,22,100,7,8,37,1,36,0,1,5,72,3,4,0,58
66,138,72,4,50,6,2,8,1,25,0,1,46,32,1,1,0,100
82,323,95,27,96,6,4,28,2,46,0,1,19,77,8,4,0,80
88,386,123,27,100,7,8,27,1,7,15,0,14,32,4,1,0,36
76,148,70,23,86,6,2,9,3,17,1,3,2,32,4,-8,0,33
61,243,104,20,86,4,6,22,1,36,-7,0,90,89,4,3,2,100
62,183,38,13,92,4,6,0,3,29,5,0,58,97,5,3,1,89
80,31,20,3,100,7,8,3,1,67,0,2,0,24,0,2,0,67
88,210,103,25,100,7,8,26,1,31,0,0,27,32,1,1,0,25
67,170,83,14,87,6,6,15,2,27,0,0,86,89,4,3,2,58
73,197,110,21,91,6,6,22,0,27,0,2,47,23,2,2,2,57
63,120,43,23,96,6,2,26,4,52,0,5,75,88,9,2,6,100
84,142,65,12,100,7,8,13,0,42,-7,0,17,32,2,2,0,57
90,280,92,18,100,7,8,23,3,35,1,1,4,86,2,1,0,38
69,281,76,36,100,7,8,36,2,25,0,4,12,83,5,2,3,41
73,102,50,17,100,7,8,17,1,35,0,1,49,57,3,1,1,57
72,126,64,15,100,5,8,15,0,47,0,2,77,69,4,2,2,75
80,169,76,12,92,6,6,12,0,0,0,1,5,32,3,-8,0,30
85,124,44,3,100,7,8,4,2,25,4,1,0,100,0,1,2,50
83,183,65,14,100,7,8,17,0,29,-7,1,62,32,20,1,2,100
56,167,75,31,88,4,6,33,1,42,0,1,74,62,11,2,2,93
78,282,95,23,100,7,8,24,1,13,0,1,22,32,4,1,1,43
68,435,138,26,90,6,5,30,0,33,8,0,16,31,3,3,1,43
70,267,121,15,94,6,6,16,2,56,0,4,77,32,4,1,3,83
62,173,86,14,86,4,6,15,0,50,-7,0,74,1,3,2,3,71
81,191,117,40,100,7,8,6,5,7,0,3,15,32,6,-8,2,26
82,207,69,18,100,7,8,22,2,16,4,2,0,32,0,1,0,14
82,152,70,21,100,7,8,23,2,48,-7,0,17,53,5,3,0,73
63,177,97,15,67,4,6,6,1,27,0,2,60,92,2,2,2,67
66,437,113,27,96,0,6,33,2,11,8,0,17,85,3,1,0,31
81,158,71,34,97,6,6,37,0,42,1,1,9,86,3,5,0,47
58,107,55,17,89,3,5,18,0,22,1,2,6,32,5,1,0,60
65,340,81,49,89,4,6,56,3,25,0,9,6,86,9,5,1,56
65,165,66,64,98,1,3,83,2,25,-7,4,15,105,14,9,3,58
76,160,55,15,100,7,8,28,2,47,4,1,60,96,2,3,1,100
78,176,100,36,100,6,8,36,0,30,3,1,1,32,1,2,0,33
85,266,80,16,100,7,8,16,0,25,0,0,19,32,5,1,0,75
56,144,55,34,100,7,8,36,2,53,5,0,92,84,9,3,5,92
67,97,46,8,100,7,8,9,1,33,0,1,66,48,5,2,1,88
79,214,85,37,97,4,6,15,2,27,4,2,6,78,3,3,0,38
73,69,41,9,100,7,8,9,0,56,23,0,87,83,1,2,1,75
67,89,36,16,100,7,8,19,5,26,0,4,63,29,6,2,3,73
56,148,59,13,75,0,2,16,0,63,0,1,86,4,3,2,1,71
60,101,34,20,81,4,5,21,2,67,0,0,30,89,1,8,1,82
63,143,40,6,100,6,8,18,3,43,0,1,68,78,2,3,0,83
80,190,65,10,92,6,4,12,2,50,0,0,48,32,1,1,1,50
57,346,68,13,73,4,6,26,0,53,9,0,0,53,2,4,0,67
57,183,58,15,88,4,6,0,1,19,-7,2,69,32,10,1,2,92
91,292,104,6,100,7,8,6,0,33,23,0,1,32,2,1,0,60
70,433,139,35,97,6,6,35,0,26,23,0,53,66,10,2,4,60
88,161,66,11,100,7,8,12,0,25,-7,0,7,32,1,-8,0,33
76,97,35,21,100,7,8,16,6,52,7,0,1,57,2,2,0,40
73,129,63,14,100,7,8,14,3,36,0,1,29,99,4,3,1,82
78,353,108,50,98,6,6,54,2,31,0,0,44,71,8,3,4,55
73,252,126,38,98,6,5,49,6,38,-7,4,11,92,10,5,1,71
73,356,165,7,86,6,6,7,1,29,23,0,27,77,2,1,0,75
68,134,54,24,100,7,8,24,5,50,-7,2,50,91,3,7,1,83
62,236,88,26,88,4,6,45,0,23,2,3,49,57,10,2,2,75
90,400,249,6,100,7,8,6,0,0,24,0,0,32,0,-8,0,0
70,23,11,12,100,7,8,13,8,8,0,1,17,89,4,1,1,56
75,63,75,26,100,6,8,20,4,31,0,4,19,86,4,5,0,64
82,184,97,19,100,7,8,14,0,21,-7,2,31,71,3,2,0,71
68,126,50,18,94,6,6,9,3,44,0,3,41,68,4,7,1,79
75,230,95,19,100,7,8,21,3,33,0,2,47,32,6,1,1,70
68,188,60,19,100,7,8,17,0,32,10,1,92,73,5,2,4,100
69,122,52,13,92,6,6,16,2,92,0,1,52,97,1,4,0,100
62,30,13,8,90,4,6,10,4,40,0,3,17,100,3,4,0,89
67,226,62,14,93,6,6,15,3,47,0,0,79,32,4,1,3,83
76,94,49,25,100,7,8,30,5,33,-7,4,20,81,2,4,0,40
78,158,80,37,97,6,6,38,3,58,0,2,0,88,1,3,0,36
88,286,57,6,100,7,8,14,1,33,3,2,14,32,1,-8,0,33
75,111,60,15,93,6,6,15,1,53,0,0,61,43,5,3,2,100
84,184,58,18,100,7,8,18,4,33,0,0,6,32,2,1,1,50
55,247,79,32,83,0,2,35,0,31,0,0,93,29,8,3,6,87
87,433,198,6,100,7,8,7,0,0,0,0,13,32,1,-8,0,25
73,241,79,19,100,7,8,20,0,35,-7,0,77,32,3,2,3,83
78,423,138,30,97,6,6,31,5,23,-7,1,26,58,4,1,1,32
54,111,57,10,55,4,5,11,0,45,0,0,84,66,4,3,3,100
59,184,86,21,91,0,6,24,2,55,0,5,0,20,0,5,2,60
80,96,57,10,100,7,8,10,0,60,0,0,62,32,20,1,2,100
70,206,67,27,96,4,6,45,2,33,2,3,11,61,3,2,0,42
80,80,39,18,100,7,8,18,2,28,0,2,7,87,1,2,0,27
79,148,59,35,100,7,8,35,1,54,0,0,0,32,1,1,0,22
73,368,103,43,100,7,8,47,1,36,-7,0,70,72,17,4,7,91
75,274,44,22,95,6,6,22,5,32,0,5,1,32,2,3,0,45
64,184,130,5,83,0,2,6,1,0,0,0,10,32,1,-8,0,40
72,254,68,18,95,4,6,24,1,16,4,1,3,19,4,3,0,58
65,92,57,32,97,4,6,32,1,44,0,4,45,68,4,4,1,57
57,193,75,20,81,4,6,21,1,52,0,1,72,57,8,2,3,100
68,172,79,24,96,4,6,24,1,29,7,0,23,97,5,2,1,53
69,432,181,13,73,3,5,10,1,27,0,9,7,32,1,1,0,60
62,33,33,0,0,6,6,1,0,100,0,2,62,32,20,1,2,100
82,115,45,16,100,7,8,16,3,63,0,0,0,92,1,3,0,50
74,319,115,41,90,4,6,43,0,24,16,0,23,32,10,1,0,52
83,229,71,14,100,7,8,14,2,43,0,3,0,95,1,4,0,71
84,115,58,8,100,7,8,9,0,44,23,0,27,32,2,-8,0,50
74,202,89,27,100,7,8,34,1,15,-7,0,51,32,6,1,3,67
70,212,56,32,100,7,8,36,11,36,1,4,19,91,7,2,0,75
67,314,108,10,92,3,5,12,2,17,0,1,60,32,5,1,2,75
74,225,95,32,94,6,6,32,2,56,-7,1,41,90,6,5,0,92
64,247,97,33,100,7,8,33,1,27,0,2,86,35,13,4,13,86
56,58,46,2,50,4,6,2,0,100,0,6,62,32,20,1,2,100
86,379,176,24,100,7,8,27,1,22,0,0,0,32,2,-8,0,20
69,292,121,28,90,6,2,39,2,48,0,4,18,93,1,4,0,55
63,126,64,16,100,6,8,16,1,44,-7,1,96,75,4,3,3,100
84,270,104,33,100,7,8,33,0,36,0,3,0,84,1,3,0,31
71,236,96,22,100,7,8,25,1,52,1,2,95,32,3,1,2,80
75,160,66,36,95,6,5,38,1,18,0,4,19,78,4,2,1,32
60,86,46,16,94,6,6,16,4,63,0,1,76,92,4,5,1,90
71,76,34,9,89,6,6,9,4,11,0,0,53,32,4,-8,1,67
56,177,92,32,81,4,6,37,0,49,-7,1,77,60,7,3,2,71
66,157,42,16,100,7,8,16,0,25,0,3,93,53,11,3,5,100
68,148,65,17,83,6,6,18,1,44,0,0,28,48,2,2,2,40
69,142,42,15,83,6,2,18,3,39,0,0,19,43,4,3,0,64
74,378,110,41,98,6,6,42,4,57,0,0,44,76,4,5,2,69
56,183,90,11,55,0,2,20,0,65,9,0,62,12,1,1,0,100
84,220,79,24,100,7,8,24,1,50,0,0,36,84,4,4,0,80
65,202,84,28,87,6,6,30,2,33,0,0,28,26,3,2,0,38
68,69,42,10,90,5,7,10,1,40,0,3,79,72,3,2,1,100
68,177,70,32,97,6,6,46,2,60,1,2,85,32,5,12,5,100
36,377,113,10,63,0,5,17,2,19,0,0,59,78,8,3,2,85
66,18,11,2,100,7,8,2,1,100,0,1,62,99,20,2,2,100
82,178,70,24,89,6,5,27,2,41,1,2,12,84,2,1,0,60
75,364,123,43,98,6,6,43,0,26,2,1,1,31,7,2,1,45
62,165,71,28,86,6,6,29,3,41,-7,6,39,50,4,2,0,60
55,134,97,5,67,0,6,6,0,50,1,1,0,32,0,1,2,33
59,107,42,25,96,4,6,8,5,12,1,2,48,80,7,2,2,50
81,101,41,12,100,7,8,12,0,42,0,2,6,32,1,4,0,83
70,178,71,32,97,6,6,36,1,42,20,0,57,32,5,4,2,75
64,432,87,34,97,6,6,35,7,35,0,2,34,47,8,7,2,71
72,265,154,13,81,5,4,16,0,56,0,1,41,83,4,2,0,100
76,102,46,7,100,7,8,7,0,100,23,0,62,24,20,3,2,100
54,266,99,54,96,4,6,56,2,43,2,3,58,67,12,6,3,69
67,72,32,17,100,7,8,17,5,12,3,2,58,65,3,2,0,83
64,183,47,23,100,0,8,26,3,15,-7,2,49,83,9,2,1,61
68,379,149,4,33,6,2,6,0,83,0,0,4,32,1,1,2,100
88,156,140,5,100,7,8,5,0,20,-7,0,20,32,2,1,0,75
65,154,121,7,78,6,2,5,0,33,-7,0,85,32,2,-8,1,100
75,300,73,52,98,6,6,63,8,29,4,1,19,68,7,8,2,71
58,255,124,30,84,4,6,38,0,50,1,8,60,11,4,3,4,73
67,37,23,4,100,7,8,4,1,25,0,0,86,32,1,1,1,67
87,255,111,32,100,7,8,32,2,13,3,1,2,32,1,3,0,27
77,337,70,13,92,6,6,14,0,54,9,0,0,32,1,2,1,75
76,134,84,21,95,6,6,21,0,52,-7,0,38,32,1,1,0,67
57,104,29,18,78,4,6,19,4,39,-7,4,53,80,6,3,0,75
66,168,93,21,79,3,5,24,1,8,-7,2,26,32,5,1,0,38
60,224,88,27,93,4,6,27,2,41,3,3,58,83,5,6,1,75
72,170,55,54,98,5,7,62,8,55,0,2,54,91,6,7,1,64
65,332,139,16,89,3,5,18,2,0,1,1,5,32,9,-8,0,60
84,138,69,13,100,7,8,13,2,31,23,0,26,32,3,1,0,80
74,311,102,39,100,7,8,41,2,20,3,2,15,53,9,1,1,48
75,99,56,38,100,7,8,40,3,55,0,1,41,76,6,3,0,75
67,299,79,25,89,5,6,27,3,37,0,12,63,63,13,3,4,94
79,361,170,7,63,6,5,8,1,25,-7,1,8,92,2,1,1,60
73,162,74,20,100,7,8,24,2,48,-7,3,70,79,5,2,1,100
63,149,49,17,100,7,8,17,0,6,-7,2,58,32,7,1,3,57
86,160,82,15,100,7,8,15,0,20,0,1,31,56,2,2,0,50
63,259,94,16,81,4,6,32,0,44,1,2,62,50,4,2,2,86
57,156,90,39,91,3,5,45,0,16,15,0,81,32,7,-8,1,88
67,137,54,15,82,6,6,17,1,24,0,3,47,32,4,1,1,60
62,139,55,5,63,5,2,8,1,63,-7,3,59,32,2,2,1,100
74,226,66,27,93,6,6,43,4,37,9,0,32,81,5,4,0,75
79,16,7,4,100,7,8,5,4,40,0,2,8,32,1,1,0,50
83,344,151,10,90,6,6,10,0,40,19,0,5,32,1,-8,2,33
87,301,92,19,100,7,8,19,1,21,3,1,8,32,2,1,0,33
62,157,67,24,96,0,2,25,4,60,-7,4,59,62,4,4,2,73
59,389,74,42,83,4,6,47,2,32,0,2,63,81,9,3,2,68
70,285,96,13,67,4,5,15,1,27,0,1,25,32,3,1,0,50
65,266,96,25,89,4,6,31,4,57,0,0,27,95,8,4,1,87
77,278,73,15,94,6,6,16,2,31,0,0,22,32,6,1,2,64
68,320,95,14,50,6,2,20,1,40,0,1,0,92,1,2,2,75
81,407,90,31,100,7,8,33,1,36,0,4,0,76,2,2,1,45
62,186,44,4,60,6,5,9,0,60,1,2,0,32,0,1,2,50
86,261,97,16,100,7,8,16,0,19,0,0,9,32,3,-8,0,38
71,80,45,27,100,7,8,27,1,33,0,0,43,96,3,3,1,46
80,192,72,22,100,6,8,23,2,39,0,1,13,96,2,3,1,63
73,330,131,6,67,6,6,6,1,50,7,0,59,32,2,1,0,75
72,226,83,33,97,6,7,37,0,47,0,3,1,78,3,5,1,80
68,295,107,20,90,4,6,21,1,24,0,1,32,32,4,1,2,56
71,322,117,29,93,4,6,30,0,48,-7,2,21,32,2,1,0,25
61,204,70,34,94,4,6,34,0,26,0,0,75,81,7,5,2,86
71,157,75,39,95,3,5,44,2,50,4,3,10,65,4,4,0,50
63,121,58,15,89,6,5,18,4,50,0,4,74,100,6,6,2,100
67,56,48,2,67,0,3,3,0,33,23,0,0,32,0,-8,2,0
79,181,77,20,100,7,8,21,2,43,0,3,42,74,3,4,1,78
77,180,74,26,100,7,8,27,1,48,13,0,24,71,2,2,1,44
77,409,137,33,100,6,8,34,0,26,0,0,18,68,8,2,0,65
59,42,18,11,100,7,8,14,4,58,0,1,59,89,4,4,1,89
79,314,102,25,100,7,8,26,3,31,0,4,13,84,3,4,1,50
79,187,64,24,92,6,6,63,2,32,1,6,7,32,3,1,0,40
70,184,40,15,87,6,6,17,4,53,3,3,22,97,2,2,0,50
54,136,62,28,93,4,5,30,3,28,4,1,64,86,8,3,3,73
67,115,55,21,96,6,6,26,0,58,0,0,56,84,5,4,1,82
65,107,42,37,97,4,6,37,5,19,9,0,26,94,9,1,2,43
79,181,91,12,100,7,8,14,1,21,0,4,66,39,3,2,1,71
70,210,65,10,90,6,6,10,1,40,23,0,40,48,3,3,1,86
87,441,114,20,100,7,8,21,2,30,-7,3,3,50,2,1,1,33
84,140,74,22,100,7,8,24,2,14,0,1,36,22,1,2,0,30
59,129,43,15,94,6,5,16,4,38,1,6,71,92,9,3,3,92
67,234,96,43,100,7,8,43,3,12,0,1,79,24,23,4,11,87
55,25,14,9,100,7,8,9,5,56,0,1,97,93,3,2,2,100
63,128,56,13,71,6,2,15,1,29,11,0,0,32,0,2,2,33
85,249,100,13,100,7,8,15,1,47,0,2,29,75,1,3,0,80
71,228,85,35,100,7,8,40,3,40,-7,4,62,23,4,2,1,54
73,214,122,27,96,6,6,31,2,37,4,3,16,93,2,2,0,40
86,191,77,38,100,7,8,40,3,58,5,0,6,32,4,2,1,55
61,216,61,23,96,6,6,26,4,21,0,2,43,99,11,3,2,70
66,99,58,25,85,5,5,26,1,62,0,0,49,47,3,4,2,64
86,70,39,10,100,7,8,10,1,10,0,0,0,32,1,1,0,22
73,347,120,37,95,6,4,53,2,46,0,1,66,84,5,2,2,70
80,245,88,44,98,6,6,45,2,27,5,0,21,81,4,3,0,100
70,178,95,43,100,7,8,55,5,35,1,5,71,71,5,3,3,53
75,206,92,37,100,7,8,38,2,29,7,2,32,89,3,4,1,53
60,51,26,13,100,7,8,13,1,15,0,3,66,4,7,2,1,91
65,328,103,13,82,5,2,36,1,41,4,1,77,32,3,2,1,86
58,334,99,34,68,6,6,37,2,54,2,4,68,32,3,4,1,58
64,8,8,2,100,7,8,2,2,100,-7,0,62,81,20,2,2,100
89,180,77,37,100,7,8,41,1,24,5,1,1,32,3,1,0,29
81,253,80,28,100,7,8,29,4,34,0,4,4,32,3,5,0,50
67,246,58,17,95,6,3,19,7,37,1,2,60,95,5,3,1,73
69,236,96,37,95,4,6,41,3,20,0,1,15,94,5,1,2,55
64,31,16,9,100,7,8,9,3,33,-7,1,69,65,5,2,1,88
73,183,104,12,93,3,5,0,1,43,-7,1,0,100,1,2,0,50
69,375,107,17,79,6,5,8,0,37,16,0,0,32,0,2,0,50
70,63,36,14,100,7,8,15,4,47,0,1,70,32,4,1,2,71
80,330,45,19,100,7,8,28,2,32,10,1,1,32,1,2,0,50
68,329,80,32,91,6,6,34,3,33,0,8,31,32,7,1,2,57
54,184,101,42,88,4,6,43,4,51,0,1,64,83,8,3,3,93
66,173,75,30,97,4,6,32,1,38,-7,1,43,100,6,1,1,70
63,170,75,14,87,2,4,15,1,13,0,2,56,32,5,-8,2,70
74,99,51,16,100,7,8,16,1,56,0,0,15,32,5,3,1,89
58,42,21,8,88,4,6,8,2,50,0,0,50,92,2,2,1,80
72,233,98,36,100,7,8,38,2,34,0,1,63,32,5,1,2,55
77,81,49,17,100,7,8,13,2,39,0,3,43,81,2,4,1,86
85,89,55,13,100,7,8,14,0,29,2,1,13,80,1,2,0,75
66,502,145,34,97,6,6,37,4,27,4,3,80,53,17,3,12,83
60,333,112,19,71,2,4,22,0,29,0,2,9,85,3,3,0,40
60,154,76,35,82,4,4,38,3,34,4,1,26,3,6,2,2,89
71,214,127,10,64,6,5,11,0,18,-7,0,51,81,3,1,2,57
85,278,104,23,100,7,8,23,0,35,5,1,42,69,1,3,0,44
68,98,54,14,100,0,8,15,3,13,0,2,6,32,4,-8,0,67
54,23,18,3,100,7,8,4,0,33,0,0,94,32,2,1,0,100
68,214,78,8,89,3,5,9,2,22,23,0,43,32,3,1,1,67
76,160,62,20,100,7,8,20,4,40,0,0,17,94,5,6,1,85
73,482,74,32,97,6,2,34,3,21,0,1,24,32,8,1,1,56
63,163,68,35,86,3,5,37,2,27,2,1,18,80,6,2,1,64
67,150,80,22,88,5,4,25,2,24,0,0,67,99,4,2,2,78
84,112,55,15,93,6,6,24,2,47,-7,0,3,32,2,1,0,43
61,125,78,27,93,4,6,29,1,76,2,1,92,33,1,5,1,100
87,218,98,17,100,7,8,39,0,35,-7,0,0,6,1,1,0,29
73,133,58,2,100,6,7,3,4,20,-7,9,18,32,3,-8,0,75
73,156,67,29,97,6,6,29,1,38,-7,3,45,22,2,5,2,64
58,381,77,23,76,0,2,25,2,28,-7,0,29,82,5,4,0,69
68,60,38,11,83,6,5,12,1,17,0,1,57,32,5,1,2,67
61,316,87,38,93,4,6,40,3,58,0,2,78,71,5,6,4,73
80,215,85,18,100,7,8,11,2,50,2,1,28,96,3,2,0,63
79,210,96,24,92,4,6,24,1,21,0,2,18,45,4,3,0,58
60,220,83,21,80,4,5,25,2,44,22,0,62,87,4,3,2,73
43,71,48,7,88,3,5,8,1,75,0,0,62,53,1,1,2,100
69,198,88,29,97,6,6,32,2,37,1,4,61,93,5,3,2,62
78,342,95,25,100,7,8,25,3,36,16,0,44,97,5,3,1,67
79,45,61,22,95,6,6,1,2,41,2,1,0,37,2,3,0,50
65,208,65,37,100,7,8,37,4,14,0,2,47,65,13,3,6,73
74,207,72,43,100,7,8,43,3,35,0,1,10,53,10,2,0,65
67,82,44,14,100,6,8,16,2,36,0,0,16,33,4,2,1,75
66,72,71,13,93,4,6,17,0,29,-7,0,58,32,4,1,2,83
64,244,78,43,100,7,8,44,4,25,0,6,88,32,13,4,6,86
83,61,28,13,100,7,8,13,0,54,17,0,3,74,2,3,0,63
62,164,47,13,100,7,8,13,3,31,0,1,81,87,5,2,4,88
56,58,27,30,97,4,6,33,6,15,4,1,29,37,10,2,2,50
58,89,49,15,67,6,6,16,2,20,0,1,68,61,9,1,1,83
71,90,50,16,100,7,8,16,1,75,0,1,99,99,2,1,2,100
55,258,51,28,93,4,6,22,2,38,-7,1,55,99,9,3,5,71
86,29,65,11,100,7,8,1,0,36,20,0,0,49,0,2,0,25
65,100,40,15,93,4,6,15,3,47,0,0,50,65,3,2,0,71
78,138,55,20,100,7,8,20,4,25,8,0,30,32,2,1,1,23
61,183,76,8,80,4,2,12,2,33,0,0,0,32,1,1,0,50
73,153,75,17,100,7,8,18,4,33,0,2,87,95,2,2,1,57
87,156,70,15,100,7,8,16,0,27,-7,2,2,35,2,2,0,44
69,190,61,23,96,4,6,23,2,30,0,0,41,70,6,3,1,75
60,162,81,7,78,4,4,10,0,56,-7,0,102,32,2,-8,1,67
72,400,104,38,100,7,8,39,5,18,0,0,37,3,9,2,3,63
74,234,104,34,100,7,8,20,3,50,14,0,69,55,3,3,1,88
63,176,69,10,77,6,2,20,1,46,0,2,89,32,3,1,1,100
65,494,99,39,100,6,8,39,1,46,0,4,27,92,8,6,1,88
70,298,71,24,96,6,6,47,6,13,0,2,29,32,3,1,1,36
67,135,71,29,94,6,6,33,4,9,0,8,35,69,10,1,2,46
80,148,103,16,100,7,8,16,1,75,3,1,47,51,1,6,1,88
75,183,49,17,100,7,8,19,2,26,-7,1,100,57,1,2,1,50
58,46,38,13,93,4,6,5,1,50,-7,2,80,84,5,4,1,90
82,180,106,16,94,6,6,16,0,13,0,2,3,32,2,1,0,38
71,132,63,29,90,4,6,31,1,58,0,2,23,82,1,4,0,71
77,173,101,41,98,5,7,40,0,18,21,0,49,32,13,1,5,64
63,222,52,24,92,6,6,26,5,58,0,4,86,71,8,5,4,100
75,267,102,6,86,7,2,7,0,57,0,1,77,32,1,1,1,100
64,281,91,54,93,4,3,60,0,32,4,2,35,72,4,3,2,41
73,85,38,10,100,7,8,10,2,50,0,1,81,32,1,1,0,50
75,171,80,17,94,6,6,17,0,53,0,0,24,32,2,2,1,56
83,198,53,38,100,7,8,39,6,8,-7,4,4,32,2,1,0,18
79,150,43,25,100,7,8,25,5,60,0,0,18,90,2,5,0,47
83,398,127,9,100,7,8,12,0,22,0,5,0,32,1,1,2,50
57,78,95,10,82,4,6,5,2,18,-7,0,62,32,5,1,1,100
